,feature_types,genome,feature_is_filtered,feature_name,feature_reference,feature_biotype,feature_length,feature_type,ensemble_id
ABCA8,Gene Expression,GRCh38,False,ABCA8_ENSG00000141338,NCBITaxon:9606,gene,1562,protein_coding,ENSG00000141338
ABCA9,Gene Expression,GRCh38,False,ABCA9_ENSG00000154258,NCBITaxon:9606,gene,1031,protein_coding,ENSG00000154258
ABCA9-AS1,Gene Expression,GRCh38,False,ABCA9-AS1,NCBITaxon:9606,gene,550,lncRNA,ENSG00000231749
ABCB1,Gene Expression,GRCh38,False,ABCB1_ENSG00000085563,NCBITaxon:9606,gene,787,protein_coding,ENSG00000085563
ABCB10,Gene Expression,GRCh38,False,ABCB10_ENSG00000135776,NCBITaxon:9606,gene,877,protein_coding,ENSG00000135776
ABCB11,Gene Expression,GRCh38,False,ABCB11_ENSG00000073734,NCBITaxon:9606,gene,1699,protein_coding,ENSG00000073734
ABCB4,Gene Expression,GRCh38,False,ABCB4_ENSG00000005471,NCBITaxon:9606,gene,2059,protein_coding,ENSG00000005471
ABCB5,Gene Expression,GRCh38,False,ABCB5_ENSG00000004846,NCBITaxon:9606,gene,2225,protein_coding,ENSG00000004846
ABCB6,Gene Expression,GRCh38,False,ABCB6_ENSG00000115657,NCBITaxon:9606,gene,793,protein_coding,ENSG00000115657
ABCB7,Gene Expression,GRCh38,False,ABCB7_ENSG00000131269,NCBITaxon:9606,gene,2116,protein_coding,ENSG00000131269
ABCB8,Gene Expression,GRCh38,False,ABCB8_ENSG00000197150,NCBITaxon:9606,gene,739,protein_coding,ENSG00000197150
ABCB9,Gene Expression,GRCh38,False,ABCB9_ENSG00000150967,NCBITaxon:9606,gene,2121,protein_coding,ENSG00000150967
ABCC1,Gene Expression,GRCh38,False,ABCC1_ENSG00000103222,NCBITaxon:9606,gene,3077,protein_coding,ENSG00000103222
ABCC10,Gene Expression,GRCh38,False,ABCC10_ENSG00000124574,NCBITaxon:9606,gene,753,protein_coding,ENSG00000124574
ABCC11,Gene Expression,GRCh38,False,ABCC11_ENSG00000121270,NCBITaxon:9606,gene,3601,protein_coding,ENSG00000121270
ABCC12,Gene Expression,GRCh38,False,ABCC12_ENSG00000140798,NCBITaxon:9606,gene,3243,protein_coding,ENSG00000140798
ABCC2,Gene Expression,GRCh38,False,ABCC2_ENSG00000023839,NCBITaxon:9606,gene,1130,protein_coding,ENSG00000023839
ABCC3,Gene Expression,GRCh38,False,ABCC3_ENSG00000108846,NCBITaxon:9606,gene,785,protein_coding,ENSG00000108846
ABCC4,Gene Expression,GRCh38,False,ABCC4_ENSG00000125257,NCBITaxon:9606,gene,2548,protein_coding,ENSG00000125257
ABCC5,Gene Expression,GRCh38,False,ABCC5_ENSG00000114770,NCBITaxon:9606,gene,1848,protein_coding,ENSG00000114770
ABCC5-AS1,Gene Expression,GRCh38,False,ABCC5-AS1,NCBITaxon:9606,gene,469,lncRNA,ENSG00000223882
ABCC6,Gene Expression,GRCh38,False,ABCC6_ENSG00000091262,NCBITaxon:9606,gene,1449,protein_coding,ENSG00000091262
ABCC8,Gene Expression,GRCh38,False,ABCC8_ENSG00000006071,NCBITaxon:9606,gene,4760,protein_coding,ENSG00000006071
ABCC9,Gene Expression,GRCh38,False,ABCC9_ENSG00000069431,NCBITaxon:9606,gene,3237,protein_coding,ENSG00000069431
ABCD1,Gene Expression,GRCh38,False,ABCD1_ENSG00000101986,NCBITaxon:9606,gene,1016,protein_coding,ENSG00000101986
ABCD2,Gene Expression,GRCh38,False,ABCD2_ENSG00000173208,NCBITaxon:9606,gene,6290,protein_coding,ENSG00000173208
ABCD3,Gene Expression,GRCh38,False,ABCD3_ENSG00000117528,NCBITaxon:9606,gene,3174,protein_coding,ENSG00000117528
ABCD4,Gene Expression,GRCh38,False,ABCD4_ENSG00000119688,NCBITaxon:9606,gene,816,protein_coding,ENSG00000119688
ABCE1,Gene Expression,GRCh38,False,ABCE1_ENSG00000164163,NCBITaxon:9606,gene,770,protein_coding,ENSG00000164163
ABCF1,Gene Expression,GRCh38,False,ABCF1_ENSG00000204574,NCBITaxon:9606,gene,2860,protein_coding,ENSG00000204574
ABCF2,Gene Expression,GRCh38,False,ABCF2_ENSG00000033050,NCBITaxon:9606,gene,941,protein_coding,ENSG00000033050
ABCF3,Gene Expression,GRCh38,False,ABCF3_ENSG00000161204,NCBITaxon:9606,gene,722,protein_coding,ENSG00000161204
ABCG1,Gene Expression,GRCh38,False,ABCG1_ENSG00000160179,NCBITaxon:9606,gene,2976,protein_coding,ENSG00000160179
ABCG2,Gene Expression,GRCh38,False,ABCG2_ENSG00000118777,NCBITaxon:9606,gene,4206,protein_coding,ENSG00000118777
ABCG4,Gene Expression,GRCh38,False,ABCG4_ENSG00000172350,NCBITaxon:9606,gene,2506,protein_coding,ENSG00000172350
ABCG5,Gene Expression,GRCh38,False,ABCG5_ENSG00000138075,NCBITaxon:9606,gene,2828,protein_coding,ENSG00000138075
ABCG8,Gene Expression,GRCh38,False,ABCG8_ENSG00000143921,NCBITaxon:9606,gene,3058,protein_coding,ENSG00000143921
ABHD1,Gene Expression,GRCh38,False,ABHD1_ENSG00000143994,NCBITaxon:9606,gene,1277,protein_coding,ENSG00000143994
ABHD10,Gene Expression,GRCh38,False,ABHD10_ENSG00000144827,NCBITaxon:9606,gene,890,protein_coding,ENSG00000144827
ABHD11,Gene Expression,GRCh38,False,ABHD11_ENSG00000106077,NCBITaxon:9606,gene,806,protein_coding,ENSG00000106077
ABHD12,Gene Expression,GRCh38,False,ABHD12_ENSG00000100997,NCBITaxon:9606,gene,1118,protein_coding,ENSG00000100997
ABHD12B,Gene Expression,GRCh38,False,ABHD12B_ENSG00000131969,NCBITaxon:9606,gene,1404,protein_coding,ENSG00000131969
ABHD13,Gene Expression,GRCh38,False,ABHD13_ENSG00000139826,NCBITaxon:9606,gene,5313,protein_coding,ENSG00000139826
ABHD14A,Gene Expression,GRCh38,False,ABHD14A_ENSG00000248487,NCBITaxon:9606,gene,802,protein_coding,ENSG00000248487
ABHD14B,Gene Expression,GRCh38,False,ABHD14B_ENSG00000114779,NCBITaxon:9606,gene,1737,protein_coding,ENSG00000114779
ABHD15,Gene Expression,GRCh38,False,ABHD15_ENSG00000168792,NCBITaxon:9606,gene,3492,protein_coding,ENSG00000168792
ABHD15-AS1,Gene Expression,GRCh38,False,ABHD15-AS1,NCBITaxon:9606,gene,187,lncRNA,ENSG00000264031
ABHD16A,Gene Expression,GRCh38,False,ABHD16A_ENSG00000204427,NCBITaxon:9606,gene,890,protein_coding,ENSG00000204427
ABHD16B,Gene Expression,GRCh38,False,ABHD16B_ENSG00000183260,NCBITaxon:9606,gene,1491,protein_coding,ENSG00000183260
ABHD17A,Gene Expression,GRCh38,False,ABHD17A_ENSG00000129968,NCBITaxon:9606,gene,1692,protein_coding,ENSG00000129968
ABHD17B,Gene Expression,GRCh38,False,ABHD17B_ENSG00000107362,NCBITaxon:9606,gene,2188,protein_coding,ENSG00000107362
ABHD17C,Gene Expression,GRCh38,False,ABHD17C_ENSG00000136379,NCBITaxon:9606,gene,1976,protein_coding,ENSG00000136379
ABHD18,Gene Expression,GRCh38,False,ABHD18_ENSG00000164074,NCBITaxon:9606,gene,2134,protein_coding,ENSG00000164074
ABHD2,Gene Expression,GRCh38,False,ABHD2_ENSG00000140526,NCBITaxon:9606,gene,585,protein_coding,ENSG00000140526
ABHD3,Gene Expression,GRCh38,False,ABHD3_ENSG00000158201,NCBITaxon:9606,gene,1094,protein_coding,ENSG00000158201
ABHD4,Gene Expression,GRCh38,False,ABHD4_ENSG00000100439,NCBITaxon:9606,gene,689,protein_coding,ENSG00000100439
ABHD5,Gene Expression,GRCh38,False,ABHD5_ENSG00000011198,NCBITaxon:9606,gene,1416,protein_coding,ENSG00000011198
ABHD6,Gene Expression,GRCh38,False,ABHD6_ENSG00000163686,NCBITaxon:9606,gene,768,protein_coding,ENSG00000163686
ABHD8,Gene Expression,GRCh38,False,ABHD8_ENSG00000127220,NCBITaxon:9606,gene,570,protein_coding,ENSG00000127220
ABI1,Gene Expression,GRCh38,False,ABI1_ENSG00000136754,NCBITaxon:9606,gene,3441,protein_coding,ENSG00000136754
ABI2,Gene Expression,GRCh38,False,ABI2_ENSG00000138443,NCBITaxon:9606,gene,750,protein_coding,ENSG00000138443
ABI3,Gene Expression,GRCh38,False,ABI3_ENSG00000108798,NCBITaxon:9606,gene,1247,protein_coding,ENSG00000108798
ABI3BP,Gene Expression,GRCh38,False,ABI3BP_ENSG00000154175,NCBITaxon:9606,gene,571,protein_coding,ENSG00000154175
ABITRAM,Gene Expression,GRCh38,False,ABITRAM_ENSG00000119328,NCBITaxon:9606,gene,530,protein_coding,ENSG00000119328
ABL1,Gene Expression,GRCh38,False,ABL1_ENSG00000097007,NCBITaxon:9606,gene,5578,protein_coding,ENSG00000097007
ABL2,Gene Expression,GRCh38,False,ABL2_ENSG00000143322,NCBITaxon:9606,gene,2712,protein_coding,ENSG00000143322
ABLIM1,Gene Expression,GRCh38,False,ABLIM1_ENSG00000099204,NCBITaxon:9606,gene,2255,protein_coding,ENSG00000099204
ABLIM2,Gene Expression,GRCh38,False,ABLIM2_ENSG00000163995,NCBITaxon:9606,gene,2573,protein_coding,ENSG00000163995
ABLIM3,Gene Expression,GRCh38,False,ABLIM3_ENSG00000173210,NCBITaxon:9606,gene,2287,protein_coding,ENSG00000173210
ABO,Gene Expression,GRCh38,False,ABO_ENSG00000175164,NCBITaxon:9606,gene,1147,protein_coding,ENSG00000175164
ABR,Gene Expression,GRCh38,False,ABR_ENSG00000159842,NCBITaxon:9606,gene,588,protein_coding,ENSG00000159842
ABR-AS1,Gene Expression,GRCh38,False,ABR-AS1,NCBITaxon:9606,gene,235,lncRNA,ENSG00000235361
ABRA,Gene Expression,GRCh38,False,ABRA_ENSG00000174429,NCBITaxon:9606,gene,2754,protein_coding,ENSG00000174429
ABRACL,Gene Expression,GRCh38,False,ABRACL_ENSG00000146386,NCBITaxon:9606,gene,619,protein_coding,ENSG00000146386
ABRAXAS1,Gene Expression,GRCh38,False,ABRAXAS1_ENSG00000163322,NCBITaxon:9606,gene,1732,protein_coding,ENSG00000163322
ABRAXAS2,Gene Expression,GRCh38,False,ABRAXAS2_ENSG00000165660,NCBITaxon:9606,gene,2955,protein_coding,ENSG00000165660
ABT1,Gene Expression,GRCh38,False,ABT1_ENSG00000146109,NCBITaxon:9606,gene,2943,protein_coding,ENSG00000146109
ABTB1,Gene Expression,GRCh38,False,ABTB1_ENSG00000114626,NCBITaxon:9606,gene,818,protein_coding,ENSG00000114626
ABTB2,Gene Expression,GRCh38,False,ABTB2_ENSG00000166016,NCBITaxon:9606,gene,2735,protein_coding,ENSG00000166016
ABTB3,Gene Expression,GRCh38,False,ABTB3_ENSG00000151136,NCBITaxon:9606,gene,3478,protein_coding,ENSG00000151136
ACAA1,Gene Expression,GRCh38,False,ACAA1_ENSG00000060971,NCBITaxon:9606,gene,945,protein_coding,ENSG00000060971
ACAA2,Gene Expression,GRCh38,False,ACAA2_ENSG00000167315,NCBITaxon:9606,gene,1657,protein_coding,ENSG00000167315
ACACA,Gene Expression,GRCh38,False,ACACA_ENSG00000278540,NCBITaxon:9606,gene,772,protein_coding,ENSG00000278540
ACACB,Gene Expression,GRCh38,False,ACACB_ENSG00000076555,NCBITaxon:9606,gene,959,protein_coding,ENSG00000076555
ACAD10,Gene Expression,GRCh38,False,ACAD10_ENSG00000111271,NCBITaxon:9606,gene,803,protein_coding,ENSG00000111271
ACAD11,Gene Expression,GRCh38,False,ACAD11_ENSG00000240303,NCBITaxon:9606,gene,1539,protein_coding,ENSG00000240303
ACAD8,Gene Expression,GRCh38,False,ACAD8_ENSG00000151498,NCBITaxon:9606,gene,1262,protein_coding,ENSG00000151498
ACAD9,Gene Expression,GRCh38,False,ACAD9_ENSG00000177646,NCBITaxon:9606,gene,2512,protein_coding,ENSG00000177646
ACAD9-DT,Gene Expression,GRCh38,False,ACAD9-DT,NCBITaxon:9606,gene,933,lncRNA,ENSG00000287110
ACADL,Gene Expression,GRCh38,False,ACADL_ENSG00000115361,NCBITaxon:9606,gene,1047,protein_coding,ENSG00000115361
ACADM,Gene Expression,GRCh38,False,ACADM_ENSG00000117054,NCBITaxon:9606,gene,2359,protein_coding,ENSG00000117054
ACADS,Gene Expression,GRCh38,False,ACADS_ENSG00000122971,NCBITaxon:9606,gene,1398,protein_coding,ENSG00000122971
ACADSB,Gene Expression,GRCh38,False,ACADSB_ENSG00000196177,NCBITaxon:9606,gene,1091,protein_coding,ENSG00000196177
ACADVL,Gene Expression,GRCh38,False,ACADVL_ENSG00000072778,NCBITaxon:9606,gene,718,protein_coding,ENSG00000072778
ACAN,Gene Expression,GRCh38,False,ACAN_ENSG00000157766,NCBITaxon:9606,gene,7577,protein_coding,ENSG00000157766
ACAP1,Gene Expression,GRCh38,False,ACAP1_ENSG00000072818,NCBITaxon:9606,gene,603,protein_coding,ENSG00000072818
ACAP2,Gene Expression,GRCh38,False,ACAP2_ENSG00000114331,NCBITaxon:9606,gene,758,protein_coding,ENSG00000114331
ACAP2-IT1,Gene Expression,GRCh38,False,ACAP2-IT1,NCBITaxon:9606,gene,690,lncRNA,ENSG00000229325
ACAP3,Gene Expression,GRCh38,False,ACAP3_ENSG00000131584,NCBITaxon:9606,gene,819,protein_coding,ENSG00000131584
ACAT1,Gene Expression,GRCh38,False,ACAT1_ENSG00000075239,NCBITaxon:9606,gene,1198,protein_coding,ENSG00000075239
ACAT2,Gene Expression,GRCh38,False,ACAT2_ENSG00000120437,NCBITaxon:9606,gene,1520,protein_coding,ENSG00000120437
ACBD3,Gene Expression,GRCh38,False,ACBD3_ENSG00000182827,NCBITaxon:9606,gene,1939,protein_coding,ENSG00000182827
ACBD3-AS1,Gene Expression,GRCh38,False,ACBD3-AS1,NCBITaxon:9606,gene,535,lncRNA,ENSG00000234478
ACBD4,Gene Expression,GRCh38,False,ACBD4_ENSG00000181513,NCBITaxon:9606,gene,1364,protein_coding,ENSG00000181513
ACBD5,Gene Expression,GRCh38,False,ACBD5_ENSG00000107897,NCBITaxon:9606,gene,3709,protein_coding,ENSG00000107897
ACBD6,Gene Expression,GRCh38,False,ACBD6_ENSG00000230124,NCBITaxon:9606,gene,1920,protein_coding,ENSG00000230124
ACBD7,Gene Expression,GRCh38,False,ACBD7_ENSG00000176244,NCBITaxon:9606,gene,1922,protein_coding,ENSG00000176244
ACCS,Gene Expression,GRCh38,False,ACCS_ENSG00000110455,NCBITaxon:9606,gene,884,protein_coding,ENSG00000110455
ACCSL,Gene Expression,GRCh38,False,ACCSL_ENSG00000205126,NCBITaxon:9606,gene,1813,protein_coding,ENSG00000205126
ACD,Gene Expression,GRCh38,False,ACD_ENSG00000102977,NCBITaxon:9606,gene,1440,protein_coding,ENSG00000102977
ACE,Gene Expression,GRCh38,False,ACE_ENSG00000159640,NCBITaxon:9606,gene,982,protein_coding,ENSG00000159640
ACE2,Gene Expression,GRCh38,False,ACE2_ENSG00000130234,NCBITaxon:9606,gene,3149,protein_coding,ENSG00000130234
ACE2-DT,Gene Expression,GRCh38,False,ACE2-DT,NCBITaxon:9606,gene,574,lncRNA,ENSG00000225833
ACER1,Gene Expression,GRCh38,False,ACER1_ENSG00000167769,NCBITaxon:9606,gene,1428,protein_coding,ENSG00000167769
ACER2,Gene Expression,GRCh38,False,ACER2_ENSG00000177076,NCBITaxon:9606,gene,2773,protein_coding,ENSG00000177076
ACER3,Gene Expression,GRCh38,False,ACER3_ENSG00000078124,NCBITaxon:9606,gene,4418,protein_coding,ENSG00000078124
ACHE,Gene Expression,GRCh38,False,ACHE_ENSG00000087085,NCBITaxon:9606,gene,1701,protein_coding,ENSG00000087085
ACIN1,Gene Expression,GRCh38,False,ACIN1_ENSG00000100813,NCBITaxon:9606,gene,888,protein_coding,ENSG00000100813
ACKR1,Gene Expression,GRCh38,False,ACKR1_ENSG00000213088,NCBITaxon:9606,gene,1196,protein_coding,ENSG00000213088
ACKR2,Gene Expression,GRCh38,False,ACKR2_ENSG00000144648,NCBITaxon:9606,gene,797,protein_coding,ENSG00000144648
ACKR3,Gene Expression,GRCh38,False,ACKR3_ENSG00000144476,NCBITaxon:9606,gene,1364,protein_coding,ENSG00000144476
ACKR4,Gene Expression,GRCh38,False,ACKR4_ENSG00000129048,NCBITaxon:9606,gene,1367,protein_coding,ENSG00000129048
ACLY,Gene Expression,GRCh38,False,ACLY_ENSG00000131473,NCBITaxon:9606,gene,1878,protein_coding,ENSG00000131473
ACMSD,Gene Expression,GRCh38,False,ACMSD_ENSG00000153086,NCBITaxon:9606,gene,1279,protein_coding,ENSG00000153086
ACO1,Gene Expression,GRCh38,False,ACO1_ENSG00000122729,NCBITaxon:9606,gene,3618,protein_coding,ENSG00000122729
ACO2,Gene Expression,GRCh38,False,ACO2_ENSG00000100412,NCBITaxon:9606,gene,3014,protein_coding,ENSG00000100412
ACOD1,Gene Expression,GRCh38,False,ACOD1_ENSG00000102794,NCBITaxon:9606,gene,2147,protein_coding,ENSG00000102794
ACOT1,Gene Expression,GRCh38,False,ACOT1,NCBITaxon:9606,gene,1478,protein_coding,ENSG00000184227
ACOT11,Gene Expression,GRCh38,False,ACOT11_ENSG00000162390,NCBITaxon:9606,gene,2875,protein_coding,ENSG00000162390
ACOT12,Gene Expression,GRCh38,False,ACOT12_ENSG00000172497,NCBITaxon:9606,gene,716,protein_coding,ENSG00000172497
ACOT13,Gene Expression,GRCh38,False,ACOT13_ENSG00000112304,NCBITaxon:9606,gene,4041,protein_coding,ENSG00000112304
ACOT2,Gene Expression,GRCh38,False,ACOT2_ENSG00000119673,NCBITaxon:9606,gene,1565,protein_coding,ENSG00000119673
ACOT4,Gene Expression,GRCh38,False,ACOT4_ENSG00000177465,NCBITaxon:9606,gene,1465,protein_coding,ENSG00000177465
ACOT6,Gene Expression,GRCh38,False,ACOT6_ENSG00000205669,NCBITaxon:9606,gene,1004,protein_coding,ENSG00000205669
ACOT7,Gene Expression,GRCh38,False,ACOT7_ENSG00000097021,NCBITaxon:9606,gene,1472,protein_coding,ENSG00000097021
ACOT8,Gene Expression,GRCh38,False,ACOT8_ENSG00000101473,NCBITaxon:9606,gene,1082,protein_coding,ENSG00000101473
ACOT9,Gene Expression,GRCh38,False,ACOT9_ENSG00000123130,NCBITaxon:9606,gene,1485,protein_coding,ENSG00000123130
ACOX1,Gene Expression,GRCh38,False,ACOX1_ENSG00000161533,NCBITaxon:9606,gene,681,protein_coding,ENSG00000161533
ACOX2,Gene Expression,GRCh38,False,ACOX2_ENSG00000168306,NCBITaxon:9606,gene,693,protein_coding,ENSG00000168306
ACOX3,Gene Expression,GRCh38,False,ACOX3_ENSG00000087008,NCBITaxon:9606,gene,1380,protein_coding,ENSG00000087008
ACOXL,Gene Expression,GRCh38,False,ACOXL_ENSG00000153093,NCBITaxon:9606,gene,668,protein_coding,ENSG00000153093
ACOXL-AS1,Gene Expression,GRCh38,False,ACOXL-AS1,NCBITaxon:9606,gene,2860,lncRNA,ENSG00000204581
ACP1,Gene Expression,GRCh38,False,ACP1_ENSG00000143727,NCBITaxon:9606,gene,689,protein_coding,ENSG00000143727
ACP2,Gene Expression,GRCh38,False,ACP2_ENSG00000134575,NCBITaxon:9606,gene,1173,protein_coding,ENSG00000134575
ACP3,Gene Expression,GRCh38,False,ACP3_ENSG00000014257,NCBITaxon:9606,gene,581,protein_coding,ENSG00000014257
ACP4,Gene Expression,GRCh38,False,ACP4_ENSG00000142513,NCBITaxon:9606,gene,1342,protein_coding,ENSG00000142513
ACP5,Gene Expression,GRCh38,False,ACP5_ENSG00000102575,NCBITaxon:9606,gene,1673,protein_coding,ENSG00000102575
ACP6,Gene Expression,GRCh38,False,ACP6_ENSG00000162836,NCBITaxon:9606,gene,1081,protein_coding,ENSG00000162836
ACP7,Gene Expression,GRCh38,False,ACP7_ENSG00000183760,NCBITaxon:9606,gene,2018,protein_coding,ENSG00000183760
ACR,Gene Expression,GRCh38,False,ACR_ENSG00000100312,NCBITaxon:9606,gene,847,protein_coding,ENSG00000100312
ACRBP,Gene Expression,GRCh38,False,ACRBP_ENSG00000111644,NCBITaxon:9606,gene,811,protein_coding,ENSG00000111644
ACRV1,Gene Expression,GRCh38,False,ACRV1_ENSG00000134940,NCBITaxon:9606,gene,918,protein_coding,ENSG00000134940
ACSBG1,Gene Expression,GRCh38,False,ACSBG1_ENSG00000103740,NCBITaxon:9606,gene,704,protein_coding,ENSG00000103740
ACSBG2,Gene Expression,GRCh38,False,ACSBG2_ENSG00000130377,NCBITaxon:9606,gene,881,protein_coding,ENSG00000130377
ACSF2,Gene Expression,GRCh38,False,ACSF2_ENSG00000167107,NCBITaxon:9606,gene,595,protein_coding,ENSG00000167107
ACSF3,Gene Expression,GRCh38,False,ACSF3_ENSG00000176715,NCBITaxon:9606,gene,883,protein_coding,ENSG00000176715
ACSL1,Gene Expression,GRCh38,False,ACSL1_ENSG00000151726,NCBITaxon:9606,gene,3638,protein_coding,ENSG00000151726
ACSL3,Gene Expression,GRCh38,False,ACSL3_ENSG00000123983,NCBITaxon:9606,gene,5425,protein_coding,ENSG00000123983
ACSL3-AS1,Gene Expression,GRCh38,False,ACSL3-AS1,NCBITaxon:9606,gene,537,lncRNA,ENSG00000234193
